Symbol,Company,Current CEO,Gender,Date Employed,Age,Education,children,sector,headquarters,headquartersMSA,popperlesshS,population,popbelowpovlevel,percentmenbusiness,percentfemalebusiness,implicitatt,exp1career,exp2fam,Slopeafterhire,fullslope
CAH,Cardinal Health Inc.,Michael C Kaufmann,2,1/1/2018,57,BS,,Health Care Distributors,"Dublin, Ohio","Columbus, OH Metro Area",7.6,2054062,13.7,54.9,45.1,0.333652368,4.340696118,3.41750167,0.007707394,0.00657267
CHRW,C. H. Robinson Worldwide,Robert Biesterfeld,2,5/1/2019,44,BA,,Air Freight & Logistics,"Eden Prairie, Minnesota","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",7,3557528,9,53.2,46.8,0.346231977,4.305490654,3.479087452,-0.008754969,-0.008786728
FTV,Fortive Corp,Jim Lico,2,7/8/1905,53,MS,3,Industrial Machinery,"Everett, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,,
GD,General Dynamics,Phebe N. Novakovic,1,7/4/1905,63,MBA,2,Aerospace & Defense,"Falls Church, Virginia","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606,-0.002998144,-0.002998144
ZTS,Zoetis,Kristin Peck,1,1/1/2020,48,MBA,2,Pharmaceuticals,"Florham Park, New Jersey","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.001760164,0.00967623
CMS,CMS,Patricia Poppe,1,7/16/2020,49,MS,2,Application Software,"Fort Lauderdale, Florida","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",11.4,6070944,15.4,56.7,43.3,0.369366075,4.301639344,3.340104849,0.008077341,0.008077341
KO,Coca-Cola,James Quincey,2,5/17/2020,55,BA,2,Application Software,"Fort Lauderdale, Florida","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",11.4,6070944,15.4,56.7,43.3,0.369366075,4.301639344,3.340104849,0.004628102,0.004628102
AAL,American Airlines Group,Doug Parker,2,12/1/2013,59,MBA,3,Airlines,"Fort Worth, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,-0.007806077,-0.007806077
DHI,D. R. Horton,David V. Auld,2,10/1/2014,63,BS,,Homebuilding,"Fort Worth, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,0.004844342,0.004844342
AVY,Avery Dennison Corp,Mitchell R. Butier,2,5/1/2016,48,BA,,Paper Packaging,"Glendale, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035,0.005386103,0.005255297
ULTA,Ulta,Mary Dillon,1,6/1/2013,58,BS,4,Residential REITs,"Highlands Ranch, Colorado","San Diego-Carlsbad, CA Metro Area",9.2,3302833,12.5,55.9,44.1,0.342725296,4.301822323,3.383390216,-0.00894509,-0.00894509
APA,Apache Corporation,John Christmann,2,1/1/2015,52,MBA,,Oil & Gas Exploration & Production,"Houston, Texas","Houston-The Woodlands-Sugar Land, TX Metro Area",17.7,6779104,14.2,57.5,42.5,0.326362729,4.360956618,3.446914953,-0.007120006,-0.007120006
BKR,Baker Hughes Co,Lorenzo Simonelli,2,10/1/2017,47,BA,,Oil & Gas Equipment & Services,"Houston, Texas","Houston-The Woodlands-Sugar Land, TX Metro Area",17.7,6779104,14.2,57.5,42.5,0.326362729,4.360956618,3.446914953,-0.006978236,-0.007388954
COG,Cabot Oil & Gas,Dan Dinges,2,5/1/2002,66,BA,,Oil & Gas Exploration & Production,"Houston, Texas","Houston-The Woodlands-Sugar Land, TX Metro Area",17.7,6779104,14.2,57.5,42.5,0.326362729,4.360956618,3.446914953,-0.009925413,-0.009925413
CNP,CenterPoint Energy,John W Somerhalder II,2,2/1/2020,64,BS,4,Multi-Utilities,"Houston, Texas","Houston-The Woodlands-Sugar Land, TX Metro Area",17.7,6779104,14.2,57.5,42.5,0.326362729,4.360956618,3.446914953,-0.009279693,-0.008011102
NOV,National Oilwell Varco Inc.,Clay C Williams,2,6/2/2014,58,MBA,3,Oil & Gas Equipment & Services,"Houston, Texas","Houston-The Woodlands-Sugar Land, TX Metro Area",17.7,6779104,14.2,57.5,42.5,0.326362729,4.360956618,3.446914953,-0.006616101,-0.006616101
NBL,Noble Energy Inc,David L Stover,2,10/1/2014,62,BS,,Oil & Gas Exploration & Production,"Houston, Texas","Houston-The Woodlands-Sugar Land, TX Metro Area",17.7,6779104,14.2,57.5,42.5,0.326362729,4.360956618,3.446914953,-0.007114404,-0.007114404
SYY,Sysco Corp.,Kevin Hourican,2,2/1/2020,45,Masters ,,Food Distributors,"Houston, Texas","Houston-The Woodlands-Sugar Land, TX Metro Area",17.7,6779104,14.2,57.5,42.5,0.326362729,4.360956618,3.446914953,-0.005539115,-0.000684496
SPG,Simon Property Group Inc,David Simon,2,6/17/1905,57,MBA,5,Retail REITs,"Indianapolis, Indiana","Indianapolis-Carmel-Anderson, IN Metro Area",10.6,2007497,13.2,54.2,45.8,0.340081696,4.36693256,3.485155684,-0.008421553,-0.008421553
CE,Celanese,Lori Ryerkerk,1,5/1/2019,57,,2,Specialty Chemicals,"Irving, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,-0.002582306,-0.001027314
XOM,ExxonMobile,Darren Woods,2,1/17/2020,54,MBA,,Integrated Oil & Gas,"Irving, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,0.011335971,-0.008939198
AJG,Arthur J. Gallagher & Co.,J. Patrick Gallagher,2,6/17/1905,67,BA,4,Insurance Brokers,"Itasca, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.006099675,0.006099675
CSX,CSX Corp.,James M Foote,2,12/1/2017,66,JD,,Railroads,"Jacksonville, Florida","Jacksonville, FL Metro Area",9.1,1475386,13.3,53,47,0.397064298,4.379746835,3.447949527,-0.004805825,-0.004695248
VZ,Verizon,Hans Vestberg,2,8/18/2020,54,BS,2,Research & Consulting Services,"Jersey City, New Jersey","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",8,6069448,12.6,54.6,45.4,0.333240668,4.347376583,3.433144037,0.001011891,0.001011891
NEE,NextEra Energy,James L Robo,2,7/1/2012,57,MBA,,Multi-Utilities,"Juno Beach, Florida","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",11.4,6070944,15.4,56.7,43.3,0.369366075,4.301639344,3.340104849,0.01036906,0.01036906
SYK,Stryker Corp.,Kevin A. Lobo,2,10/1/2012,54,MBA,,Health Care Equipment,"Kalamazoo, Michigan","Kalamazoo-Portage, MI Metro Area",7.8,336845,16,53.2,46.8,0.347991962,4.128865979,3.393782383,-1.7738E-05,-1.7738E-05
SNA,Snap-on,Nicholas T. Pinchuk,2,6/29/1905,73,"MS, MBA",,Industrial Machinery,"Kenosha, Wisconsin","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,-0.004244909,-0.004244909
BR,Broadridge Financial Solutions,Tim Gokey,2,1/1/2019,58,PhD,,Data Processing & Outsourced Services,"Lake Success, New York","New York-Newark-Jersey City, NY-NJ-PA Metro Area",13.2,19990592,13.4,56.3,43.7,0.341154665,4.336801582,3.404640516,-0.003200641,-0.001286524
CDW,CDW,Christine A. Leahy,1,1/19/2020,54,JD,,Technology Distributors,"Lincolnshire, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.01058218,0.005965119
MA,Mastercard,Ajaypal Singh Banga,2,7/1/2010,60,MBA,2,Building Products,"Livonia, Michigan","Detroit-Warren-Dearborn, MI Metro Area",9.1,4317179,15.1,55,45,0.353504588,4.285151856,3.449887387,0.007556746,0.007556746
CBRE,CBRE Group,Robert E Sulentic,2,12/1/2012,63,MBA,,Real Estate Services,"Los Angeles, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035,0.002521319,0.002521319
NFLX,Netflix Inc.,Reed Hastings,2,8/29/1997,59,MS,2,Movies & Entertainment,"Los Gatos, California","Los Angeles-Long Beach-Anaheim, CA Metro Area",19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035,2.26493E-05,2.26493E-05
BF.B,Brown-Forman Corp.,Lawson Whiting,2,1/1/2019,51,MBA,3,Distillers & Vintners,"Louisville, Kentucky","Louisville/Jefferson County, KY-IN Metro Area",8.7,1285270,13.1,53.6,46.4,0.343367875,4.298898072,3.459310345,0.008954708,0.00886062
LNT,Alliant Energy Corp,John Larsen,2,7/1/2019,56,BA,,Electric Utilities,"Madison, Wisconsin","Madison, WI Metro Area",4.3,647281,11.2,53.4,46.6,0.327891164,4.357723577,3.425474255,0.006094593,0.007912673
